iter	Passed	Remaining
0	48	48094
1	48	24427
2	49	16559
3	50	12606
4	51	10231
5	52	8645
6	52	7512
7	53	6667
8	54	6009
9	55	5480
10	56	5048
11	56	4688
12	57	4384
13	58	4122
14	59	3896
15	60	3696
16	60	3523
17	61	3365
18	62	3225
19	63	3099
20	64	2984
21	64	2882
22	65	2788
23	66	2700
24	67	2622
25	68	2549
26	68	2481
27	69	2416
28	70	2355
29	71	2300
30	71	2248
31	72	2199
32	73	2156
33	74	2116
34	75	2077
35	76	2040
36	77	2005
37	77	1972
38	78	1940
39	79	1908
40	80	1878
41	81	1850
42	81	1823
43	82	1797
44	83	1772
45	84	1749
46	85	1726
47	85	1703
48	86	1682
49	87	1661
50	88	1642
51	89	1623
52	89	1604
53	90	1586
54	91	1570
55	92	1553
56	92	1537
57	93	1521
58	94	1506
59	95	1492
60	95	1477
61	96	1463
62	97	1449
63	98	1436
64	99	1425
65	99	1412
66	100	1400
67	100	1382
68	101	1371
69	102	1360
70	103	1349
71	103	1339
72	104	1328
73	105	1319
74	106	1310
75	106	1300
76	107	1291
77	108	1281
78	109	1273
79	110	1268
80	111	1259
81	111	1251
82	112	1243
83	113	1235
84	113	1225
85	114	1218
86	115	1207
87	115	1200
88	116	1194
89	117	1187
90	118	1180
91	118	1174
92	119	1167
93	120	1161
94	121	1154
95	122	1148
96	122	1142
97	123	1136
98	124	1131
99	125	1125
100	125	1120
101	126	1111
102	127	1106
103	127	1101
104	128	1096
105	129	1091
106	130	1085
107	130	1081
108	131	1076
109	132	1071
110	133	1066
111	133	1061
112	134	1057
113	135	1052
114	136	1048
115	136	1042
116	137	1038
117	138	1033
118	138	1028
119	139	1024
120	140	1020
121	141	1016
122	141	1009
123	142	1005
124	143	1001
125	143	997
126	144	994
127	145	988
128	145	985
129	146	982
130	147	978
131	148	975
132	149	971
133	149	968
134	150	964
135	151	961
136	152	958
137	152	954
138	153	951
139	154	948
140	155	945
141	155	941
142	156	938
143	157	935
144	158	932
145	159	930
146	159	927
147	160	924
148	161	921
149	161	917
150	162	915
151	163	912
152	164	909
153	165	906
154	165	903
155	166	901
156	167	898
157	168	896
158	168	893
159	169	890
160	170	887
161	171	885
162	171	882
163	172	880
164	173	877
165	174	875
166	174	872
167	175	870
168	176	867
169	177	865
170	177	862
171	178	860
172	179	858
173	180	855
174	181	853
175	181	851
176	182	849
177	183	847
178	184	846
179	185	844
180	185	840
181	186	838
182	187	836
183	188	834
184	188	831
185	189	830
186	190	828
187	191	825
188	191	823
189	192	821
190	193	819
191	194	817
192	195	815
193	195	814
194	196	811
195	197	809
196	198	809
197	199	806
198	199	804
199	200	803
200	201	801
201	202	799
202	203	797
203	203	795
204	204	793
205	205	791
206	206	789
207	206	787
208	207	785
209	208	783
210	209	782
211	209	780
212	210	778
213	211	776
214	212	774
215	212	772
216	213	771
217	214	769
218	215	767
219	216	766
220	216	764
221	217	762
222	218	760
223	219	758
224	219	757
225	220	755
226	221	753
227	222	752
228	222	750
229	223	748
230	224	747
231	225	745
232	225	743
233	226	742
