iter	Passed	Remaining
0	124	124689
1	128	64068
2	131	43550
3	134	33379
4	138	27622
5	141	23472
6	143	20326
7	144	17899
8	145	16012
9	146	14546
10	148	13339
11	149	12290
12	150	11401
13	150	10631
14	151	9972
15	152	9390
16	153	8878
17	154	8420
18	155	8009
19	155	7639
20	156	7305
21	157	7005
22	158	6727
23	159	6473
24	160	6240
25	161	6034
26	162	5853
27	163	5667
28	164	5492
29	164	5332
30	165	5181
31	166	5040
32	167	4907
33	168	4781
34	169	4664
35	169	4551
36	170	4445
37	172	4358
38	173	4263
39	173	4173
40	174	4087
41	175	4004
42	176	3926
43	177	3851
44	178	3780
45	178	3711
46	179	3645
47	180	3583
48	181	3525
49	182	3473
50	183	3420
51	185	3373
52	186	3328
53	187	3284
54	188	3238
55	189	3191
56	190	3147
57	191	3104
58	192	3063
59	192	3022
60	193	2981
61	194	2942
62	195	2905
63	196	2869
64	196	2833
65	198	2803
66	199	2774
67	200	2742
68	200	2711
69	201	2680
70	202	2650
71	203	2620
72	204	2602
73	205	2577
74	206	2550
75	207	2524
76	208	2498
77	209	2474
78	210	2449
79	210	2425
80	211	2403
81	212	2379
82	212	2352
83	213	2330
84	214	2309
85	215	2288
86	216	2267
87	216	2247
88	217	2229
89	218	2211
90	219	2193
91	220	2175
92	221	2158
93	222	2141
94	223	2125
95	223	2108
96	224	2091
97	225	2076
98	226	2060
99	227	2044
100	227	2028
101	228	2013
102	229	1999
103	230	1984
104	231	1969
105	231	1956
106	232	1943
107	233	1931
108	234	1917
109	235	1905
110	236	1892
111	237	1881
112	238	1869
113	239	1857
114	240	1847
115	240	1836
116	241	1823
117	242	1811
118	243	1800
119	243	1789
120	244	1778
121	245	1766
122	246	1756
123	247	1746
124	248	1736
125	248	1727
126	249	1715
127	250	1707
128	251	1698
129	252	1689
130	253	1680
131	254	1671
132	254	1662
133	255	1652
134	256	1643
135	257	1634
136	258	1625
137	258	1616
138	259	1608
139	260	1600
140	261	1593
141	262	1583
142	262	1575
143	263	1568
144	264	1560
145	265	1553
146	266	1545
147	267	1538
148	268	1531
149	269	1524
150	269	1517
151	270	1510
152	271	1503
153	272	1497
154	273	1490
155	274	1483
156	275	1477
157	275	1470
158	276	1464
159	277	1458
160	278	1450
161	279	1447
162	280	1440
163	281	1434
164	282	1428
165	283	1422
166	284	1416
167	284	1410
168	285	1405
169	286	1399
170	287	1393
171	288	1387
172	289	1382
173	290	1376
174	290	1371
175	291	1365
176	292	1360
177	293	1354
178	294	1349
179	295	1344
180	297	1343
181	297	1337
182	298	1331
183	298	1325
184	299	1319
185	300	1314
186	301	1308
187	301	1303
188	302	1298
189	303	1293
190	304	1289
191	305	1285
192	306	1280
193	307	1275
194	308	1271
195	308	1267
196	309	1262
197	310	1257
198	311	1253
199	312	1248
200	313	1244
201	313	1240
202	314	1235
203	315	1231
204	316	1226
205	317	1222
206	318	1219
207	319	1216
208	320	1212
209	321	1208
210	322	1204
211	322	1200
212	323	1196
213	324	1192
214	325	1188
215	326	1184
216	327	1180
217	328	1178
218	329	1175
219	332	1178
220	333	1176
221	337	1181
222	338	1179
223	340	1179
224	341	1175
225	342	1172
226	343	1168
227	344	1165
228	345	1161
229	346	1158
230	346	1155
231	348	1152
232	349	1149
233	351	1150
234	352	1147
235	353	1143
236	354	1140
237	355	1137
238	355	1133
239	356	1130
240	357	1126
241	358	1123
242	359	1120
243	360	1117
244	361	1114
245	362	1111
246	363	1107
247	364	1104
248	365	1101
249	366	1098
250	366	1095
251	367	1091
252	368	1088
253	369	1085
254	370	1082
255	371	1079
256	372	1075
257	372	1072
258	373	1069
259	374	1066
260	375	1063
261	376	1060
262	377	1057
263	378	1053
264	379	1053
265	380	1049
266	381	1046
267	382	1043
268	383	1040
269	383	1038
270	384	1034
271	385	1031
272	386	1028
273	387	1025
274	387	1022
275	388	1019
276	389	1016
277	390	1014
278	391	1011
279	392	1009
280	393	1006
281	394	1003
282	395	1000
283	395	998
284	396	995
285	397	992
286	398	989
287	399	987
288	400	984
289	401	982
290	401	979
291	402	976
292	403	974
293	404	972
294	405	969
295	406	966
296	407	964
297	409	965
298	410	962
299	411	960
300	412	957
301	413	954
302	413	952
303	414	949
304	415	946
305	416	943
306	416	941
307	418	939
308	419	938
309	420	935
310	421	933
311	422	930
312	423	928
313	424	926
314	424	924
315	425	922
316	426	919
317	427	917
318	428	914
319	429	912
320	430	909
321	430	907
322	431	904
323	432	902
324	433	900
325	434	897
326	435	895
327	435	893
328	436	890
329	437	888
330	438	886
331	439	884
332	440	882
333	441	879
334	442	877
335	443	875
336	444	874
337	445	872
338	446	870
339	447	867
340	448	865
341	448	863
342	449	861
343	450	859
344	451	857
345	452	855
346	453	853
347	454	851
348	455	849
349	458	851
350	459	849
351	460	848
352	462	847
353	464	847
354	465	845
355	467	846
356	470	847
357	472	846
358	472	844
359	473	842
360	474	840
361	475	838
362	476	836
363	477	834
364	478	832
365	479	830
366	480	829
367	481	827
368	482	825
369	483	823
370	484	821
371	485	819
372	486	817
373	487	816
374	488	814
375	489	812
376	491	811
377	492	810
378	493	808
379	494	806
380	497	807
381	498	806
382	499	805
383	501	803
384	502	802
385	503	800
386	504	798
387	504	796
388	505	794
389	507	793
390	507	791
391	509	789
392	510	787
393	511	786
394	512	784
395	513	782
396	513	780
397	514	778
398	515	776
399	516	774
400	517	772
401	518	770
402	519	768
403	519	767
404	520	765
405	521	763
406	522	761
407	523	759
408	524	757
409	525	756
410	526	754
411	527	752
412	527	750
413	528	748
414	529	746
415	530	745
416	531	743
417	532	741
418	533	739
419	534	737
420	535	736
421	536	734
422	536	732
423	537	730
424	538	728
425	539	727
426	540	725
427	541	723
428	542	721
429	543	719
430	544	718
431	545	716
432	546	715
433	547	713
434	547	711
435	548	709
436	549	708
437	550	706
438	551	704
439	552	703
440	553	701
441	554	699
442	554	697
443	555	695
444	556	693
445	556	691
446	557	689
447	558	687
448	559	686
449	560	684
450	563	686
451	564	684
452	565	682
453	566	681
454	568	680
455	569	679
456	569	677
457	570	675
458	571	673
459	572	671
460	573	670
461	574	668
462	574	666
463	578	668
464	579	667
465	582	667
466	583	665
467	584	664
468	585	662
469	585	660
470	586	658
471	587	657
472	588	655
473	589	654
474	590	652
475	591	651
476	592	649
477	593	647
478	594	646
479	596	645
480	596	644
481	597	642
482	598	640
483	599	639
484	600	637
485	601	636
486	602	635
487	603	633
488	604	632
489	605	630
490	606	629
491	608	628
492	609	626
493	610	625
494	611	623
495	612	621
496	612	620
497	613	618
498	614	616
499	615	615
500	617	614
501	618	613
502	619	611
503	620	610
504	621	608
505	621	607
506	622	605
507	623	603
508	624	602
509	625	600
510	626	599
511	627	597
512	628	596
513	628	594
514	629	592
515	630	591
516	631	590
517	632	588
518	633	586
519	633	585
520	634	583
521	635	581
522	636	580
523	637	578
524	638	577
525	639	575
526	639	574
527	640	572
528	641	571
529	642	569
530	643	568
531	644	567
532	645	565
533	646	564
534	647	562
535	648	561
536	649	559
537	650	558
538	651	556
539	651	555
540	652	553
541	653	552
542	654	551
543	655	549
544	656	548
545	657	546
546	658	545
547	661	545
548	666	547
549	667	546
550	668	544
551	669	543
552	670	542
553	671	540
554	673	539
555	674	538
556	675	536
557	675	535
558	676	533
559	677	532
560	678	531
561	679	529
562	680	528
563	681	526
564	682	525
565	683	523
566	684	522
567	684	520
568	686	519
569	686	518
570	687	516
571	688	515
572	689	513
573	690	512
574	691	510
575	692	509
576	693	508
577	694	506
578	695	505
579	695	503
580	696	502
581	697	501
582	698	499
583	699	498
584	701	497
585	702	496
586	704	495
587	704	493
588	705	492
589	706	491
590	707	489
591	708	488
592	709	486
593	710	485
594	710	483
595	711	482
596	712	481
597	713	479
598	715	479
599	716	477
600	717	476
601	718	474
602	719	473
603	720	472
604	720	470
605	721	469
606	722	467
607	723	466
608	724	465
609	725	463
610	726	462
611	726	460
612	727	459
613	728	458
614	730	457
615	731	455
616	732	454
617	733	453
618	734	451
619	735	450
620	735	449
621	736	447
622	737	446
623	738	444
624	739	443
625	739	442
626	740	440
627	741	439
628	742	437
629	744	437
630	745	435
631	746	434
632	747	433
633	748	431
634	749	430
635	750	429
636	750	427
637	751	426
638	752	425
639	753	423
640	754	422
641	754	421
642	755	419
643	756	418
644	757	416
645	758	415
646	759	414
647	759	412
648	760	411
649	761	409
650	762	408
651	762	407
652	763	405
653	764	404
654	765	403
655	766	401
656	768	400
657	768	399
658	769	398
659	770	396
660	771	395
661	772	394
662	772	392
663	773	391
664	774	390
665	775	389
666	776	387
667	777	386
668	778	385
669	779	383
670	780	382
671	781	381
672	783	380
673	783	379
674	784	377
675	785	376
676	786	375
677	787	373
678	787	372
679	788	371
680	789	369
681	790	368
682	791	367
683	792	365
684	792	364
685	793	363
686	794	362
687	795	360
688	796	359
689	797	358
690	797	356
691	798	355
692	799	354
693	800	352
694	801	351
695	802	350
696	803	349
697	804	347
698	805	346
699	806	345
700	807	344
701	807	342
702	808	341
703	809	340
704	810	339
705	811	337
706	812	336
707	812	335
708	813	333
709	814	332
710	815	331
711	817	330
712	818	329
713	820	328
714	821	327
715	822	326
716	823	324
717	824	323
718	824	322
719	825	321
720	826	319
721	827	318
722	828	317
723	829	316
724	829	314
725	831	313
726	831	312
727	832	311
728	834	310
729	835	308
730	835	307
731	836	306
732	837	304
733	837	303
734	838	302
735	839	301
736	840	299
737	840	298
738	841	297
739	842	295
740	843	294
741	844	293
742	845	292
743	846	291
744	846	289
745	847	288
746	848	287
747	849	286
748	849	284
749	850	283
750	851	282
751	851	280
752	852	279
753	853	278
754	854	277
755	854	275
756	855	274
757	856	273
758	857	272
759	858	271
760	860	270
761	861	269
762	865	268
763	869	268
764	870	267
765	871	266
766	872	264
767	872	263
768	873	262
769	874	261
770	875	260
771	876	258
772	877	257
773	877	256
774	878	255
775	879	253
776	880	252
777	881	251
778	882	250
779	883	249
780	884	248
781	885	246
782	886	245
783	890	245
784	891	244
785	891	242
786	892	241
787	893	240
788	894	239
789	895	238
790	896	236
791	897	235
792	898	234
793	899	233
794	900	232
795	901	230
796	901	229
797	904	228
798	905	227
799	906	226
800	907	225
801	908	224
802	909	223
803	910	222
804	911	220
805	912	219
806	913	218
807	914	217
808	915	216
809	915	214
810	917	213
811	918	212
812	919	211
813	921	210
814	922	209
815	923	208
816	924	207
817	925	205
818	926	204
819	927	203
820	928	202
821	928	201
822	929	199
823	930	198
824	932	197
825	933	196
826	933	195
827	935	194
828	936	193
829	936	191
830	937	190
831	938	189
832	940	188
833	941	187
834	942	186
835	943	185
836	944	183
837	945	182
838	946	181
839	947	180
840	948	179
841	949	178
842	950	176
843	951	175
844	952	174
845	953	173
846	954	172
847	955	171
848	956	170
849	957	168
850	958	167
851	959	166
852	960	165
853	961	164
854	962	163
855	963	162
856	963	160
857	964	159
858	965	158
859	966	157
860	967	156
861	968	155
862	968	153
863	969	152
864	970	151
865	971	150
866	972	149
867	972	147
868	974	146
869	975	145
870	976	144
871	977	143
872	978	142
873	979	141
874	979	139
875	980	138
876	981	137
877	982	136
878	983	135
879	984	134
880	984	133
881	985	131
882	986	130
883	987	129
884	988	128
885	989	127
886	990	126
887	991	125
888	993	124
889	994	122
890	995	121
891	996	120
892	997	119
893	998	118
894	999	117
895	1000	116
896	1000	114
897	1001	113
898	1002	112
899	1003	111
900	1004	110
901	1005	109
902	1006	108
903	1008	107
904	1010	106
905	1011	104
906	1012	103
907	1013	102
908	1014	101
909	1014	100
910	1016	99
911	1017	98
912	1018	97
913	1019	95
914	1020	94
915	1021	93
916	1022	92
917	1023	91
918	1024	90
919	1025	89
920	1025	88
921	1026	86
922	1027	85
923	1028	84
924	1029	83
925	1030	82
926	1032	81
927	1033	80
928	1034	79
929	1035	77
930	1036	76
931	1037	75
932	1038	74
933	1040	73
934	1041	72
935	1042	71
936	1043	70
937	1043	68
938	1044	67
939	1045	66
940	1046	65
941	1047	64
942	1048	63
943	1048	62
944	1049	61
945	1050	59
946	1051	58
947	1051	57
948	1052	56
949	1053	55
950	1053	54
951	1054	53
952	1055	52
953	1056	50
954	1057	49
955	1058	48
956	1058	47
957	1059	46
958	1060	45
959	1062	44
960	1063	43
961	1063	42
962	1064	40
963	1065	39
964	1066	38
965	1066	37
966	1067	36
967	1068	35
968	1068	34
969	1069	33
970	1070	31
971	1070	30
972	1071	29
973	1071	28
974	1072	27
975	1073	26
976	1074	25
977	1075	24
978	1076	23
979	1076	21
980	1077	20
981	1078	19
982	1079	18
983	1080	17
984	1080	16
985	1081	15
986	1082	14
987	1082	13
988	1083	12
989	1084	10
990	1084	9
991	1085	8
992	1086	7
993	1086	6
994	1087	5
995	1088	4
996	1088	3
997	1089	2
998	1090	1
999	1091	0
